time,l_leg_hip_yaw_joint,l_leg_hip_roll_joint,l_leg_hip_pitch_joint,l_leg_knee_joint,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_hip_yaw_joint,r_leg_hip_roll_joint,r_leg_hip_pitch_joint,r_leg_knee_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
1.06,0.318,0,0,0,0,0,0,0,0,0,0,0
1.065,0.3195,0,0,0,0,0,0,0,0,0,0,0
1.07,0.321,0,0,0,0,0,0,0,0,0,0,0
1.075,0.3225,0,0,0,0,0,0,0,0,0,0,0
1.08,0.324,0,0,0,0,0,0,0,0,0,0,0
1.085,0.3255,0,0,0,0,0,0,0,0,0,0,0
1.09,0.327,0,0,0,0,0,0,0,0,0,0,0
1.095,0.3285,0,0,0,0,0,0,0,0,0,0,0
1.1,0.33,0,0,0,0,0,0,0,0,0,0,0
1.105,0.3315,0,0,0,0,0,0,0,0,0,0,0
1.11,0.333,0,0,0,0,0,0,0,0,0,0,0
1.115,0.3345,0,0,0,0,0,0,0,0,0,0,0
1.12,0.336,0,0,0,0,0,0,0,0,0,0,0
1.125,0.3375,0,0,0,0,0,0,0,0,0,0,0
1.13,0.339,0,0,0,0,0,0,0,0,0,0,0
1.135,0.3405,0,0,0,0,0,0,0,0,0,0,0
1.14,0.342,0,0,0,0,0,0,0,0,0,0,0
1.145,0.3435,0,0,0,0,0,0,0,0,0,0,0
1.15,0.345,0,0,0,0,0,0,0,0,0,0,0
1.155,0.3465,0,0,0,0,0,0,0,0,0,0,0
1.16,0.348,0,0,0,0,0,0,0,0,0,0,0
1.165,0.3495,0,0,0,0,0,0,0,0,0,0,0
1.17,0.351,0,0,0,0,0,0,0,0,0,0,0
1.175,0.3525,0,0,0,0,0,0,0,0,0,0,0
1.18,0.354,0,0,0,0,0,0,0,0,0,0,0
1.185,0.3555,0,0,0,0,0,0,0,0,0,0,0
1.19,0.357,0,0,0,0,0,0,0,0,0,0,0
1.195,0.3585,0,0,0,0,0,0,0,0,0,0,0
1.2,0.36,0,0,0,0,0,0,0,0,0,0,0
1.205,0.3615,0,0,0,0,0,0,0,0,0,0,0
1.21,0.363,0,0,0,0,0,0,0,0,0,0,0
1.215,0.3645,0,0,0,0,0,0,0,0,0,0,0
1.22,0.366,0,0,0,0,0,0,0,0,0,0,0
1.225,0.3675,0,0,0,0,0,0,0,0,0,0,0
1.23,0.369,0,0,0,0,0,0,0,0,0,0,0
1.235,0.3705,0,0,0,0,0,0,0,0,0,0,0
1.24,0.372,0,0,0,0,0,0,0,0,0,0,0
1.245,0.3735,0,0,0,0,0,0,0,0,0,0,0
1.25,0.375,0,0,0,0,0,0,0,0,0,0,0
1.255,0.3765,0,0,0,0,0,0,0,0,0,0,0
1.26,0.378,0,0,0,0,0,0,0,0,0,0,0
1.265,0.3795,0,0,0,0,0,0,0,0,0,0,0
1.27,0.381,0,0,0,0,0,0,0,0,0,0,0
1.275,0.3825,0,0,0,0,0,0,0,0,0,0,0
1.28,0.384,0,0,0,0,0,0,0,0,0,0,0
1.285,0.3855,0,0,0,0,0,0,0,0,0,0,0
1.29,0.387,0,0,0,0,0,0,0,0,0,0,0
1.295,0.3885,0,0,0,0,0,0,0,0,0,0,0
1.3,0.39,0,0,0,0,0,0,0,0,0,0,0
1.305,0.3915,0,0,0,0,0,0,0,0,0,0,0
1.31,0.393,0,0,0,0,0,0,0,0,0,0,0
1.315,0.3945,0,0,0,0,0,0,0,0,0,0,0
1.32,0.396,0,0,0,0,0,0,0,0,0,0,0
1.325,0.3975,0,0,0,0,0,0,0,0,0,0,0
1.33,0.399,0,0,0,0,0,0,0,0,0,0,0
1.335,0.4005,0,0,0,0,0,0,0,0,0,0,0
1.34,0.402,0,0,0,0,0,0,0,0,0,0,0
1.345,0.4035,0,0,0,0,0,0,0,0,0,0,0
1.35,0.405,0,0,0,0,0,0,0,0,0,0,0
1.355,0.4065,0,0,0,0,0,0,0,0,0,0,0
1.36,0.408,0,0,0,0,0,0,0,0,0,0,0
1.365,0.4095,0,0,0,0,0,0,0,0,0,0,0
1.37,0.411,0,0,0,0,0,0,0,0,0,0,0
1.375,0.4125,0,0,0,0,0,0,0,0,0,0,0
1.38,0.414,0,0,0,0,0,0,0,0,0,0,0
1.385,0.4155,0,0,0,0,0,0,0,0,0,0,0
1.39,0.417,0,0,0,0,0,0,0,0,0,0,0
1.395,0.4185,0,0,0,0,0,0,0,0,0,0,0
1.4,0.42,0,0,0,0,0,0,0,0,0,0,0
1.405,0.4215,0,0,0,0,0,0,0,0,0,0,0
1.41,0.423,0,0,0,0,0,0,0,0,0,0,0
1.415,0.4245,0,0,0,0,0,0,0,0,0,0,0
1.42,0.426,0,0,0,0,0,0,0,0,0,0,0
1.425,0.4275,0,0,0,0,0,0,0,0,0,0,0
1.43,0.429,0,0,0,0,0,0,0,0,0,0,0
1.435,0.4305,0,0,0,0,0,0,0,0,0,0,0
1.44,0.432,0,0,0,0,0,0,0,0,0,0,0
1.445,0.4335,0,0,0,0,0,0,0,0,0,0,0
1.45,0.435,0,0,0,0,0,0,0,0,0,0,0
1.455,0.4365,0,0,0,0,0,0,0,0,0,0,0
1.46,0.438,0,0,0,0,0,0,0,0,0,0,0
1.465,0.4395,0,0,0,0,0,0,0,0,0,0,0
1.47,0.441,0,0,0,0,0,0,0,0,0,0,0
1.475,0.4425,0,0,0,0,0,0,0,0,0,0,0
1.48,0.444,0,0,0,0,0,0,0,0,0,0,0
1.485,0.4455,0,0,0,0,0,0,0,0,0,0,0
1.49,0.447,0,0,0,0,0,0,0,0,0,0,0
1.495,0.4485,0,0,0,0,0,0,0,0,0,0,0
1.5,0.45,0,0,0,0,0,0,0,0,0,0,0
1.505,0.4515,0,0,0,0,0,0,0,0,0,0,0
1.51,0.453,0,0,0,0,0,0,0,0,0,0,0
1.515,0.4545,0,0,0,0,0,0,0,0,0,0,0
1.52,0.456,0,0,0,0,0,0,0,0,0,0,0
1.525,0.4575,0,0,0,0,0,0,0,0,0,0,0
1.53,0.459,0,0,0,0,0,0,0,0,0,0,0
1.535,0.4605,0,0,0,0,0,0,0,0,0,0,0
1.54,0.462,0,0,0,0,0,0,0,0,0,0,0
1.545,0.4635,0,0,0,0,0,0,0,0,0,0,0
1.55,0.465,0,0,0,0,0,0,0,0,0,0,0
1.555,0.4665,0,0,0,0,0,0,0,0,0,0,0
1.56,0.468,0,0,0,0,0,0,0,0,0,0,0
1.565,0.4695,0,0,0,0,0,0,0,0,0,0,0
1.57,0.471,0,0,0,0,0,0,0,0,0,0,0
1.575,0.4725,0,0,0,0,0,0,0,0,0,0,0
1.58,0.474,0,0,0,0,0,0,0,0,0,0,0
1.585,0.4755,0,0,0,0,0,0,0,0,0,0,0
1.59,0.477,0,0,0,0,0,0,0,0,0,0,0
1.595,0.4785,0,0,0,0,0,0,0,0,0,0,0
1.6,0.48,0,0,0,0,0,0,0,0,0,0,0
1.605,0.4815,0,0,0,0,0,0,0,0,0,0,0
1.61,0.483,0,0,0,0,0,0,0,0,0,0,0
1.615,0.4845,0,0,0,0,0,0,0,0,0,0,0
1.62,0.486,0,0,0,0,0,0,0,0,0,0,0
1.625,0.4875,0,0,0,0,0,0,0,0,0,0,0
1.63,0.489,0,0,0,0,0,0,0,0,0,0,0
